num,license
8270,RR9234
8271,RS2439
8272,RS1470
8273,RS1673
8274,RT1438
8275,RS4127
8276,RS3565
8277,RS3275
8278,RS3394
8279,RS5806
8280,RS5953
8281,RT1180
8282,RS7269
8283,RS7728
8284,RT2269
8285,RT4044
8286,RU124
8287,RT7476
8288,RT9040
8289,RU1636
8290,RT9062
8291,RU793
8292,RU2420
8293,RU1917
8294,RU1256
8295,RU2905
8296,RU3910
8297,RU4497
8298,RU4449
8299,RU2775
8300,RU5586
8301,RU5509
8302,RU6437
8303,RU6470
8304,RU8990
8305,RU9629
8306,RU9401
8307,RV3191
8308,RV3831
8309,RV3620
8310,RV4871
8311,RV7863
8312,RW1232
8313,RW1147
8314,RW3037
8315,RW2811
8316,RW4954
8317,RW5924
8318,RX7236
8319,RX6856
8320,SH3957
8321,SD2840
8322,SD4179
8323,SE3751
8324,SE3609
8325,SD7184
8326,SD9406
8327,SE2229
8328,SE3139
8329,SE3989
8330,SE3389
8331,SE5637
8332,SE5393
8333,SE6449
8334,SE5273
8335,SE5237
8336,SE4931
8337,SE5348
8338,SE4526
8339,SE6953
8340,SE8178
8341,SF677
8342,SF7329
8343,SG2574
8344,SG2901
8345,SG2549
8346,SG5327
8347,SG5226
8348,SG6245
8349,SG6274
8350,SH2495
8351,SH4061
8352,SH4366
8353,SJ3778
8354,SJ3226
8355,SJ5833
8356,SH5527
8357,SH5894
8358,SH6325
8359,SJ4959
8360,SJ5717
8361,SL9799
8362,SM894
8363,SM2037
8364,SM693
8365,SM2663
8366,SM3786
8367,SM2745
8368,SM4218
8369,SM4082
8370,SM2686
8371,SM3430
8372,SM8896
8373,SN4212
8374,SN5363
8375,SN4652
8376,SN4799
8377,SN7639
8378,SN6075
8379,SN9378
8380,SN8723
8381,SN8766
8382,SP1625
8383,SP3029
8384,SP2989
8385,SP4717
8386,SP4910
8387,SP5762
8388,SP8116
8389,SP6736
8390,SP7670
8391,SR2698
8392,SR2954
8393,SR3201
8394,SR5419
8395,SR5429
8396,SR9161
8397,SR9932
8398,SS2730
8399,SS2902
8400,TB2893
8401,TA5575
8402,SS4363
8403,SS4318
8404,SS3451
8405,SS2898
8406,SS7702
8407,SS7708
8408,SS8710
8409,SS7961
8410,SS9057
8411,ST4505
8412,SU3251
8413,ST6865
8414,ST6555
8415,SU2071
8416,SU744
8417,SU3469
8418,SU2580
8419,SU4728
8420,SU4708
8421,SU5703
8422,SU9122
8423,SU8101
8424,SU9787
8425,SU8784
8426,SV641
8427,SV2046
8428,SV3594
8429,SV2851
8430,SV5605
8431,SV5226
8432,SV5539
8433,SV7053
8434,SV7756
8435,SV6683
8436,SW271
8437,SV9156
8438,SW3701
8439,SW3867
8440,SW3564
8441,SW4403
8442,SW7771
8443,SW7908
8444,SW7384
8445,SW6570
8446,SW9838
8447,SW9812
8448,SV720
8449,SV2752
8450,SX1579
8451,SX1008
8452,SX5504
8453,SX2754
8454,SX5746
8455,SX5386
8456,SY5752
8457,SY4812
8458,SY8549
8459,SY8636
8460,SZ3478
8461,SZ2558
8462,SZ2709
8463,SZ3800
8464,SZ8795
8465,TA1636
8466,TA3184
8467,TC9116
8468,TC9329
8469,TD8479
8470,TD1189
8471,TD3068
8472,TD5052
8473,TD6343
8474,TD9458
8475,TE2157
8476,TE2869
8477,TE3987
8478,TE2964
8479,TE5914
8480,TE5717
8481,TE8311
8482,TL3015
8483,TL6813
8484,TL7857
8485,TM2971
8486,TL7986
8487,TM217
8488,TM2653
8489,TM2953
8490,TM4207
8491,TM3477
8492,TM5224
8493,TM6075
8494,TM4922
8495,TM5088
8496,TM5846
8497,TN1591
8498,TM7295
8499,TM8404
8400,TB2893
8401,TA5575
8500,TN1534
8501,TN835
